first,last,group_name
AAZHANG,BEHNAAM,1
ABBOTT,L. F.,2
ABBOTT,L.F.,2
ABDALLAH,C.T.,3
ABRAMOWICZ,HALINA,4
ABRASH,VICTOR,5
ABU-MOSTAFA,Y.,6
ABU-MOSTAFA,YASER,6
ABU-MOSTAFA,YASER S.,6
ACKLEY,DAVID H.,7
ADAMS,NICHOLAS J.,8
ADLER,ROBERT J.,9
ADORJAN,PETER,10
AERTSEN,AD,11
AFGHAN,A.,12
AGIN,PATRICK,13
AHALT,S.C.,14
AHMAD,SUBUTAI,15
AHUJA,NARENDRA,16
AKERS,L.A.,17
AL-ANSARI,MOHAMMAD A.,18
ALBRIGHT,T. D.,19
ALEXANDER,JAY,20
ALKON,DANIEL L.,21
ALLEN,ROBERT,22
ALLEN,ROBERT B.,22
ALLEN,T.P.,22
ALLEY,R.K.,23
ALLINSON,NIGEL M.,24
ALLMAN,JOHN,25
ALPAYDIN,E.,26
ALSPECTOR,J.,27
ALSPECTOR,JOSHUA,27
ALVELDA,PHILLIP,28
AMARI,S.,29
AMARI,SHUN-ICHI,29
AMBROS-INGERSON,JOSE,30
ANANDAN,P.,31
ANASTASIO,THOMAS,32
ANASTASIO,THOMAS J.,32
ANDERSEN,RICHARD A.,33
ANDERSON,BROOKE,34
ANDERSON,CHARLES W.,34
ANDERSON,DANA Z.,34
ANDERSON,JANEEN,34
ANDO,HIROSHI,35
ANDRE,DAVID,36
ANDREOU,ANDREAS G.,37
ANDRIEU,CHRISTOPHE,38
ANGELINE,PETER J.,39
ANNASWAMY,A.M.,40
APSEL,ALYSSA,41
ARCHIE,KEVIN A.,42
ARETHOR,FRANKLIN R.,43
ARIMOTO,SUGURU,44
ASANOVIC,K.,45
ASOGAWA,MINORU,46
ASSAD,CHRISTOPHER,47
ATIYA,AMIR,48
ATIYA,AMIR F.,48
ATKESON,C.C.,49
ATKESON,CHRISTOPHER,49
ATKESON,CHRISTOPHER G.,49
ATLAN,HENRI,50
ATLAS,LES,51
ATLAS,LES E.,51
ATTIAS,H.,52
ATTIAS,HAGAI,52
AUER,P.,53
AUSTIN,JIM,54
BACHRACH,JONATHAN,55
BACK,A.D.,56
BACK,ANDREW,56
BADRAN,FOUAD,57
BAIN,JOHN,58
BAIR,W.,59
BAIR,WYETH,59
BAIRD,BILL,60
BAIRD,H.S.,60
BAIRD,LEEMON,60
BAIRD,LEEMON C.,60
BAKKER,REMBRANDT,61
BALDI,P.,62
BALDI,PIERRE,62
BALLARD,D.H.,63
BALLARD,DANA H.,63
BALUJA,S.,64
BALUJA,SHUMEET,64
BAND,PIERRE,65
BANIK,JASHOJIBAN,66
BARADUC,PIERRE,67
BARAM,YORAM,68
BARAS,JOHN,69
BARBER,DAVID,70
BARHEN,J.,71
BARHEN,JACOB,71
BARKAI,N.,72
BARNARD,ETIENNE,73
BARR,ALAN,74
BARR,ALAN H.,74
BARRON,ANDREW R.,75
BARTELS,ANDREAS M.,76
BARTLETT,M.S.,77
BARTLETT,MARIAN S.,77
BARTLETT,MARIAN STEWART,77
BARTLETT,P.L.,77
BARTLETT,PETER,77
BARTLETT,PETER L.,77
BARTO,A.G.,78
BARTO,ANDREW G.,78
BASRI,RONEN,79
BAUER,H.U.,80
BAUER,HANS ULRICH,80
BAUM,ERIC,81
BAUM,ERIC B.,81
BAUMGARDT,DOUGLAS,82
BAVELIER,DAPHNE,83
BAXTER,DONALD J.,84
BAXTER,J.,84
BAXTER,JONATHAN,84
BAXTER,WILLIAM,84
BAYLISS,JESSICA D.,85
BEAL,MATTHEW J.,86
BECK,J.,87
BECK,JAMES,87
BECKER,SUZANNA,88
BECKMAN,PAUL,89
BECKMANN,C.F.,90
BEER,R.D.,91
BEER,RANDALL D.,91
BEHRMAN,ELIZABETH C.,92
BEHRMANN,MARLENE,93
BELEW,RICHARD K.,94
BELL,A.J.,95
BELL,ANTHONY,95
BELL,ANTHONY J.,95
BEN,JAN,96
BEN-HUT,ASA,97
BENGIO,SAMY,98
BENGIO,Y.,98
BENGIO,YOSHUA,98
BENKERT,CLAUS,99
BENNETT,KRISTIN,100
BENSON,RONALD G.,101
BERGEN,JIM,102
BERNANDER,OJVIND,103
BERNASCONI,J.,104
BERNASCONI,JAKOB,104
BERNIER,OLIVIER,105
BERRY,MICHAEL J.,106
BERSINI,HUGUES,107
BERT,JOEL,108
BERTHIER,N.E.,109
BERTHOLD,MICHAEL R.,110
BERTONI,ALBERTO,111
BERTSEKAS,DIMITRI,112
BFILTHOFF,HEINRICH H.,113
BHALLA,UPINDER S.,114
BHUSHAN,NIKHIL,115
BIALEK,W.,116
BIALEK,WILHAM,116
BIALEK,WILLIAM,116
BIENENSTOCK,ELIE,117
BILBRO,GRIFF,118
BILMES,JEFF,119
BIRATTARI,MAURO,120
BISCHOF,HORST,121
BISHOP,C.M.,122
BISHOP,CHRIS M.,122
BISHOP,CHRISTOPHER M.,122
BISIO,GIACOMO M.,123
BISOFBERGER,BROOKS,124
BISSET,DAVID L.,125
BISWAS,SANJAY,126
BLACKMAN,DAVID,127
BLAIR,ALAN,128
BLAIR,ALAN D.,128
BLAIR,H.T.,128
BLAIS,BRIAN S.,129
BLAKE,A.,130
BLAKE,ANDREW,130
BLANZ,W.E.,131
BLASDEL,G.G.,132
BLASDEL,GARY G.,132
BLASIG,REINHARD,133
